table,column,missing_count,missing_pct
stock_levels,reorder_point,6054,1.0
goods_receipts,notes,1471,0.9502583979328165
stock_movements,notes,103907,0.9010944220896351
employees,termination_date,13,0.8666666666666667
return_items,exchange_variant_id,1024,0.7398843930635838
customers,trade_name,1445,0.7225
customers,state_registration,1211,0.6055
addresses,complement,2351,0.5880440220110055
stock_movements,employee_id,58057,0.5034775218537533
locations,complement,3,0.5
orders,salesperson_id,24131,0.49248948936691295
suppliers,trade_name,12,0.48
brands,country,5,0.4166666666666667
payments,paid_at,12327,0.23021327456766144
categories,parent_category_id,3,0.21428571428571427
product_variants,barcode_ean,157,0.155599603567889
purchase_orders,expected_delivery_at,287,0.1435
stock_movements,reference_table,5894,0.05111350076314694
stock_movements,reference_id,5894,0.05111350076314694
products,description,10,0.02
product_suppliers,supplier_sku,28,0.018421052631578946
returns,reason,7,0.007142857142857143
variant_attribute_values,value,8,0.003964321110009911
customers,email,4,0.002
customers,phone,4,0.002
