table,column,count,mean,std,min,25%,50%,75%,95%,max
orders,subtotal,48998.0,29331.903444222215,19789.48391455719,36.65,13523.869999999999,26515.3,41852.4925,66307.3545,127262.02
orders,discount_amount,48998.0,626.9113669945712,1541.3750633358864,0.0,0.0,0.0,56.9275,4078.8225000000007,15914.76
orders,total,48998.0,28704.992077227642,19425.63681848214,32.62,13171.235,25917.84,40941.8825,64869.028,127262.02
order_items,quantity,147320.0,5.497026880260657,2.8764151996681786,1.0,3.0,6.0,8.0,10.0,10.0
order_items,unit_price,147320.0,1772.9622322155851,1029.1162021649316,36.65,920.67,1744.87,2541.11,3536.51,4353.53
order_items,line_total,147320.0,9755.665252240022,8187.568653455277,36.65,3049.1,7443.32,14642.8,26121.42,43535.3
product_variants,sale_price,1009.0,1768.8661248761148,1027.5649048986218,36.65,919.27,1742.58,2540.41,3531.8559999999998,4353.53
product_variants,cost_price,1009.0,1015.7267789890981,569.7983379862185,21.39,533.03,1013.43,1484.96,1924.1599999999999,1999.29
product_variants,weight_kg,1009.0,24.75689197224975,14.046300349598676,0.108,13.037,24.808,36.391,47.428399999999996,49.996
stock_levels,quantity_on_hand,6054.0,1.409826560951437,3.6431737406630815,0.0,1.0,1.0,1.0,1.0,85.0
stock_levels,reorder_point,0.0,,,,,,,,
returns,total_refund_amount,980.0,6001.286214285715,7208.46164119284,0.0,907.525,3275.8999999999996,8463.15,20908.961499999994,56727.54
