table,rows,columns,missing_cells,duplicate_rows
addresses,3998,12,2351,0
attributes,8,3,0,0
brands,12,6,5,0
categories,14,7,3,0
customers,2000,11,2664,0
employees,15,11,13,0
fiscal_invoices,34365,11,0,0
goods_receipt_items,4733,4,0,0
goods_receipts,1548,6,1471,0
locations,6,14,3,0
order_items,147320,8,0,0
orders,48998,13,24131,0
payments,53546,9,12327,0
product_suppliers,1520,8,28,0
product_variants,1009,12,157,0
products,500,10,10,0
purchase_order_items,6059,6,0,0
purchase_orders,2000,13,287,0
return_items,1384,7,1024,0
returns,980,10,7,0
stock_levels,6054,5,6054,0
stock_movements,115312,11,173752,0
suppliers,25,12,12,0
variant_attribute_values,2018,3,8,0
