month,net_revenue,gross_profit,orders
2020-01-01,11935420.71,4984928.74,402
2020-02-01,10170289.27,4226800.94,376
2020-03-01,8834951.81,3645186.0100000002,316
2020-04-01,8289218.07,3408601.92,289
2020-05-01,5523643.85,2275555.61,196
2020-06-01,3792757.39,1565764.68,135
2020-07-01,3361631.01,1447529.11,110
2020-08-01,4382704.43,1816211.48,151
2020-09-01,4707039.94,1928353.39,174
2020-10-01,7471258.66,2974061.74,253
2020-11-01,8606370.42,3491903.96,307
2020-12-01,11813691.37,4849014.9,411
2021-01-01,14126861.14,5853397.31,492
2021-02-01,11696672.93,4884833.48,415
2021-03-01,11778263.61,4926704.06,410
2021-04-01,9801331.78,4092305.09,334
2021-05-01,4971807.23,2030942.95,184
2021-06-01,3897268.39,1633635.61,143
2021-07-01,3395750.26,1407196.99,108
2021-08-01,4110291.29,1726360.92,139
2021-09-01,6332280.56,2637435.56,205
2021-10-01,9631922.24,3984359.3,312
2021-11-01,10035587.67,4181920.26,358
2021-12-01,12413543.45,5114187.15,452
2022-01-01,14919709.6,6159410.31,529
2022-02-01,13282828.48,5436350.15,474
2022-03-01,13497508.11,5610275.29,476
2022-04-01,10923086.3,4491969.77,387
2022-05-01,7131467.84,3000761.85,253
2022-06-01,4237879.44,1789168.19,145
2022-07-01,4052798.75,1689940.66,134
2022-08-01,4707381.01,1974049.79,158
2022-09-01,6733731.92,2766870.99,237
2022-10-01,10066104.92,4141836.96,343
2022-11-01,12839990.04,5328256.95,444
2022-12-01,15886287.0,6545937.81,558
2023-01-01,19145249.44,7903569.59,650
2023-02-01,16308327.39,6781693.31,561
2023-03-01,13577303.66,5653980.92,482
2023-04-01,10819710.6,4453866.32,378
2023-05-01,7112166.91,2946146.02,269
2023-06-01,5041518.79,2088134.6,185
2023-07-01,4542551.25,1857565.81,172
2023-08-01,5406489.0,2218692.17,192
2023-09-01,8113126.39,3359142.05,283
2023-10-01,12406462.56,5077263.6,437
2023-11-01,14351039.96,5990675.59,486
2023-12-01,17960453.36,7356496.31,602
2024-01-01,21580835.1,8867022.82,743
2024-02-01,18576400.45,7594989.25,649
2024-03-01,16435792.42,6873955.29,586
2024-04-01,13188467.67,5458811.19,428
2024-05-01,9420289.28,3930181.61,329
2024-06-01,5455910.17,2208673.38,191
2024-07-01,4983127.67,2087717.6,187
2024-08-01,5845258.11,2442976.45,217
2024-09-01,7812342.5,3241579.85,282
2024-10-01,13518554.73,5646775.46,485
2024-11-01,16240290.79,6734034.9799999995,570
2024-12-01,20225916.07,8346968.42,688
2025-01-01,23880616.77,9944272.44,851
2025-02-01,19230229.06,7894022.3,716
2025-03-01,20988262.85,8695600.36,734
2025-04-01,15551453.87,6469686.03,534
2025-05-01,10328241.84,4282935.19,374
2025-06-01,7102296.97,2880115.49,267
2025-07-01,6097778.72,2574079.19,209
2025-08-01,8049795.81,3313320.67,280
2025-09-01,9707517.2,4002481.63,356
2025-10-01,15574661.16,6386268.24,513
2025-11-01,20139537.57,8388816.94,694
2025-12-01,21925938.35,9041345.75,766
2026-01-01,27738174.89,11467671.31,982
2026-02-01,22251410.38,9255690.81,775
2026-03-01,23369586.16,9606360.83,838
2026-04-01,17093680.89,7064408.62,591
2026-05-01,12079907.52,4964088.54,415
2026-06-01,8148213.6,3357400.25,297
2026-07-01,7312486.7700000005,3032770.0,245
2026-08-01,7515089.92,3065397.53,269
2026-09-01,12266363.62,5040118.81,425
2026-10-01,17649369.02,7231995.82,626
2026-11-01,22732405.44,9400491.3,790
2026-12-01,26905100.12,11065386.17,956
