customer_label,first_purchase_date,last_purchase_date,paid_orders,units,net_revenue,gross_profit,avg_ticket,refunded_amount
Cliente 01,2020-03-17,2026-12-26,27,518.0,1023815.39,436174.18,37919.08851851852,3206.8
Cliente 02,2020-03-13,2026-10-05,26,543.0,1020163.02,433734.35000000003,39237.03923076923,0.0
Cliente 03,2020-06-07,2026-12-10,28,505.0,976299.09,423413.13,34867.824642857144,0.0
Cliente 04,2020-03-03,2026-11-05,24,499.0,994164.59,421364.91000000003,41423.52458333333,0.0
Cliente 05,2020-01-03,2026-10-21,23,491.0,938759.87,417273.46,40815.64652173913,7672.98
Cliente 06,2020-02-18,2026-11-17,23,476.0,955913.9,388777.72000000003,41561.47391304348,0.0
Cliente 07,2020-04-11,2026-11-16,25,427.0,872244.44,386104.22000000003,34889.7776,0.0
Cliente 08,2020-01-15,2026-12-02,31,495.0,923515.79,379503.31,29790.83193548387,3533.76
Cliente 09,2020-03-03,2026-12-16,27,434.0,854751.82,377508.65,31657.474814814814,0.0
Cliente 10,2020-12-10,2026-11-25,28,460.0,887494.83,368098.54,31696.243928571428,0.0
Cliente 11,2020-01-29,2026-12-19,26,497.0,912969.01,367058.27,35114.19269230769,0.0
Cliente 12,2020-12-26,2026-12-15,23,477.0,874632.38,366484.79,38027.494782608694,3507.9
Cliente 13,2020-07-18,2026-09-21,27,522.0,881900.5,365671.51,32662.98148148148,17606.61
Cliente 14,2020-09-01,2026-10-01,28,489.0,874181.97,365016.71,31220.784642857143,0.0
Cliente 15,2020-02-12,2026-12-29,25,477.0,879682.49,363588.87,35187.2996,0.0
