source_product_id,source_product_name,recommended_product_id,recommended_product_name,pair_orders,confidence,lift,support
1,Motor de Popa 6014,136,Colete Salva-Vidas 9822,3,0.009523809523809525,3.6773675762439813,8.729812309035356e-05
1,Motor de Popa 6014,397,GPS Plotter 3411,3,0.009523809523809525,3.146978021978022,8.729812309035356e-05
1,Motor de Popa 6014,482,GPS Plotter 6316,6,0.01904761904761905,3.0026212319790306,0.00017459624618070712
1,Motor de Popa 6014,329,Colete Salva-Vidas 3098,5,0.015873015873015872,2.9326676907322065,0.00014549687181725592
1,Motor de Popa 6014,305,Bateria Náutica 5556,3,0.009523809523809525,2.727380952380953,8.729812309035356e-05
2,Vela Mestra 3870,403,Vela Mestra 807,3,0.010344827586206896,4.133720930232558,8.729812309035356e-05
2,Vela Mestra 3870,263,Tinta Antifouling 3557,3,0.010344827586206896,3.485294117647059,8.729812309035356e-05
2,Vela Mestra 3870,252,Defensa Náutica 9558,3,0.010344827586206896,3.4182692307692304,8.729812309035356e-05
2,Vela Mestra 3870,299,Hélice de Alumínio 9238,8,0.027586206896551724,2.9905362776025237,0.00023279499490760948
2,Vela Mestra 3870,467,Colete Salva-Vidas 2345,2,0.006896551724137931,2.821428571428571,5.819874872690237e-05
3,Tinta Antifouling 5479,248,Tinta Antifouling 3953,3,0.013157894736842105,4.476941115164148,8.729812309035356e-05
3,Tinta Antifouling 5479,380,Sonar Transducer 8538,3,0.013157894736842105,4.186769005847953,8.729812309035356e-05
3,Tinta Antifouling 5479,8,Cabo Náutico 1373,2,0.008771929824561403,3.4255382775119614,5.819874872690237e-05
3,Tinta Antifouling 5479,446,Vela Mestra 2993,2,0.008771929824561403,3.3126084441873918,5.819874872690237e-05
3,Tinta Antifouling 5479,120,Motor de Popa 8681,2,0.008771929824561403,3.1731301939058167,5.819874872690237e-05
4,Sonar Transducer 9933,289,Motor de Popa 8515,7,0.040229885057471264,4.4028662420382165,0.0002036956205441583
4,Sonar Transducer 9933,478,Tinta Antifouling 3290,2,0.011494252873563218,4.157894736842105,5.819874872690237e-05
4,Sonar Transducer 9933,405,Bateria Náutica 9124,4,0.022988505747126436,3.910891089108911,0.00011639749745380474
4,Sonar Transducer 9933,248,Tinta Antifouling 3953,2,0.011494252873563218,3.910891089108911,5.819874872690237e-05
4,Sonar Transducer 9933,326,Defensa Náutica 824,2,0.011494252873563218,3.910891089108911,5.819874872690237e-05
5,Bússola de Bordo 3641,69,Motor de Popa 2195,4,0.013605442176870748,5.5660835762876575,0.00011639749745380474
5,Bússola de Bordo 3641,467,Colete Salva-Vidas 2345,4,0.013605442176870748,5.5660835762876575,0.00011639749745380474
5,Bússola de Bordo 3641,18,Âncora Bruce 7120,4,0.013605442176870748,4.770928779675136,0.00011639749745380474
5,Bússola de Bordo 3641,38,Sonar Transducer 7290,4,0.013605442176870748,4.539330295224886,0.00011639749745380474
5,Bússola de Bordo 3641,282,Cabo Náutico 8086,3,0.01020408163265306,3.8115572315882873,8.729812309035356e-05
